feature,coefficient,abs_coef
ca,1.111516611403671,1.111516611403671
thal,0.6903467125771511,0.6903467125771511
sex,0.6604900517332105,0.6604900517332105
cp,0.5443966210953478,0.5443966210953478
exang,0.3806189198184677,0.3806189198184677
slope,0.3643200918277953,0.3643200918277953
thalach,-0.3517218110848984,0.3517218110848984
trestbps,0.309828071682566,0.309828071682566
restecg,0.2170658750399612,0.2170658750399612
chol,0.20998500786360647,0.20998500786360647
fbs,-0.2096063168442791,0.2096063168442791
oldpeak,0.14964525406440526,0.14964525406440526
age,-0.09834397600240294,0.09834397600240294
